TripId,Clientid,Status,ProviderType,Outcome,Tripdate,RequestTime,PromiseTime,ProviderId,APtime,APtime1,ADtime,Anchor,PickCounty,PickZip,DropCounty,DropZip,TripMiles
1,18958,CX,E-Hail,Early Cancel,2022-04-01,06:30,05:35,,00:00,00:00,00:00,P,Kings County,11228,Kings County,11219,0.0
2,33563,S,E-Hail,Authorized,2022-04-01,23:00,22:03,ISA,00:00,00:00,00:00,A,Richmond County,10308,Richmond County,10307,7.630000114440918
9,51426,CX,E-Hail,Early Cancel,2022-04-01,15:30,14:48,,00:00,00:00,00:00,P,New York County,10022,Richmond County,10301,0.0
20,37638,CX,E-Hail,Early Cancel,2022-04-01,14:30,14:30,,00:00,00:00,00:00,P,Kings,11209,Richmond,10314,0.0
21,36285,S,Primary,Completed,2022-04-01,09:30,09:30,MAG,09:38,00:00,09:55,P,Kings,11203,Kings,11226,0.8999999761581421
38,38611,S,Primary,Completed,2022-04-01,11:15,11:15,MVT,11:20,11:15,12:46,P,Kings,11203,New York,10004,8.3100004196167
39,38611,S,Primary,Completed,2022-04-01,21:10,21:10,MVT,21:42,21:40,23:03,P,New York,10004,Kings,11203,8.3100004196167
53,35870,S,Broker,Authorized,2022-04-01,12:30,12:30,VBH,12:44,12:14,13:57,P,New York,10004,Queens,11426,16.3700008392334
56,4798,S,Primary,Completed,2022-04-01,07:15,07:15,MVT,07:20,07:14,07:32,P,Kings,11221,Kings,11213,1.1299999952316284
70,51875,S,Primary,Completed,2022-04-01,09:45,09:45,ITA,10:01,09:57,11:03,P,Queens,11429,New York,10031,19.93000030517578
71,43396,CX,E-Hail,Early Cancel,2022-04-01,05:30,05:30,,00:00,00:00,00:00,P,Richmond,10305,Queens,11385,0.0
88,21318,S,Primary,Completed,2022-04-01,07:30,07:30,MVT,07:31,07:30,09:01,P,Kings,11236,Kings,11217,7.190000057220459
89,14437,S,Broker,Authorized,2022-04-01,09:00,09:00,VBH,09:04,09:02,09:31,P,Queens,11433,Queens,11377,9.4399995803833
103,51320,CX,E-Hail,Early Cancel,2022-04-01,05:00,05:00,,00:00,00:00,00:00,P,Bronx,10459,Queens,11101,0.0
106,44409,CX,E-Hail,Early Cancel,2022-04-01,15:00,15:00,,00:00,00:00,00:00,P,New York,10009,Queens,11694,0.0
107,44049,CX,E-Hail,Early Cancel,2022-04-01,16:00,16:00,,00:00,00:00,00:00,P,Richmond County,10304,New York County,10032,0.0
120,48718,S,Broker,Authorized,2022-04-01,21:30,21:30,VBG,00:00,21:25,00:00,P,Kings,11221,Kings,11234,3.950000047683716
121,13876,S,Broker,Authorized,2022-04-01,22:00,22:00,VBG,00:00,00:00,00:00,P,New York,10025,New York,10009,4.46999979019165
138,36985,S,E-Hail,Authorized,2022-04-01,07:15,06:07,STA,06:13,06:08,06:51,A,Kings County,11221,Kings County,11229,6.679999828338623
139,36985,S,Broker,Authorized,2022-04-01,14:15,14:15,VBG,14:28,14:21,15:11,P,Kings County,11229,Kings County,11221,6.679999828338623
156,36868,S,Primary,Completed,2022-04-01,10:00,10:00,PTC,10:05,09:56,10:51,P,New York,10016,Kings,11206,5.28000020980835
157,31212,CX,E-Hail,Early Cancel,2022-04-01,07:20,07:20,,00:00,00:00,00:00,P,Bronx,10453,Bronx,10461,0.0
170,45731,CX_L,E-Hail,Late Cancel,2022-04-01,07:25,07:25,,00:00,00:00,00:00,P,Kings County,11203,New York County,10011,0.0
171,14606,S,Broker,Authorized,2022-04-01,17:00,17:00,VBH,17:48,17:47,18:16,P,Kings,11201,Kings,11228,6.409999847412109
188,17666,S,Primary,Completed,2022-04-01,07:30,07:30,MAG,07:37,07:37,08:27,P,Richmond,10306,New York,10017,19.649999618530273
189,17666,S,Primary,Completed,2022-04-01,14:00,14:00,PTC,14:11,14:11,15:04,P,New York,10017,Richmond,10306,19.209999084472656
206,18680,S,Primary,Completed,2022-04-01,08:00,08:00,MAG,08:59,08:55,09:44,P,Kings,11210,Richmond,10310,12.979999542236328
207,52451,S,Broker,Authorized,2022-04-01,07:00,07:00,VBH,09:02,09:00,09:18,P,Kings,11216,Kings,11207,2.2799999713897705
220,29891,CX,E-Hail,Early Cancel,2022-04-01,16:00,14:47,,00:00,00:00,00:00,A,Bronx,10456,Bronx County,10469,0.0
221,7564,CX_L,E-Hail,Late Cancel,2022-04-01,04:30,04:30,,00:00,00:00,00:00,P,Queens,11429,Queens,11429,0.0
